id,runs,type,bowler
149765,1,wides,SN Thakur
149788,1,legbyes,NM Coulter-Nile
149789,1,legbyes,NM Coulter-Nile
149820,1,legbyes,TA Boult
149856,3,wides,UT Yadav
149878,1,wides,TA Boult
149889,1,wides,CJ Jordan
149893,1,legbyes,CJ Jordan
149900,1,wides,Rashid Khan
149901,1,wides,Rashid Khan
149933,1,wides,MG Johnson
149935,1,legbyes,SL Malinga
149942,1,legbyes,KV Sharma
149961,1,wides,PP Chawla
150039,1,legbyes,SL Malinga
150045,1,wides,KV Sharma
150055,2,wides,MG Johnson
150077,4,legbyes,UT Yadav
150115,1,wides,AS Rajpoot
150118,1,wides,AS Rajpoot
150121,1,wides,UT Yadav
150167,1,byes,MG Johnson
150191,1,wides,SN Thakur
150213,1,wides,LH Ferguson
150217,1,wides,A Zampa
150259,1,wides,SL Malinga
150282,1,legbyes,JJ Bumrah
150301,4,legbyes,MG Johnson
150317,1,wides,KV Sharma
150332,1,wides,KV Sharma
150345,2,legbyes,JD Unadkat
150355,1,byes,DT Christian
150363,1,wides,DT Christian
150366,1,wides,DT Christian
150390,1,legbyes,MA Wood
150432,1,wides,SR Watson
150458,1,noballs,JJ Bumrah
150469,1,wides,HH Pandya
150483,1,legbyes,Mustafizur Rahman
150514,1,wides,MA Wood
150529,1,legbyes,DJ Bravo
150585,1,wides,MJ McClenaghan
150595,1,wides,HH Pandya
150596,1,wides,HH Pandya
150613,1,legbyes,M Markande
150628,1,wides,R Ashwin
150768,1,legbyes,AJ Tye
150773,1,noballs,AJ Tye
150787,1,byes,MM Sharma
150809,1,wides,Mujeeb Ur Rahman
150816,1,wides,AJ Tye
150852,1,noballs,TA Boult
150868,1,legbyes,K Khejroliya
150884,1,wides,K Khejroliya
150886,1,wides,YS Chahal
150895,1,legbyes,K Khejroliya
150922,5,wides,Kuldeep Yadav
150977,1,wides,K Khejroliya
150978,1,wides,K Khejroliya
150995,1,wides,CR Woakes
151002,1,wides,UT Yadav
151009,1,wides,CR Woakes
151016,1,wides,K Khejroliya
151046,1,wides,Washington Sundar
151053,1,wides,UT Yadav
151054,1,legbyes,UT Yadav
151087,1,legbyes,SP Narine
151144,1,wides,B Kumar
151169,1,wides,B Stanlake
151177,1,legbyes,Shakib Al Hasan
151181,1,wides,S Kaul
151195,1,wides,BA Stokes
151220,1,legbyes,S Kaul
151242,1,wides,B Kumar
151253,1,legbyes,Rashid Khan
151259,1,wides,B Kumar
151275,1,wides,JD Unadkat
151285,1,wides,DS Kulkarni
151299,1,noballs,B Laughlin
151309,4,byes,DJM Short
151362,1,legbyes,Imran Tahir
151450,1,wides,Kuldeep Yadav
151452,2,legbyes,Kuldeep Yadav
151473,1,wides,SR Watson
151487,1,byes,SN Thakur
151491,1,wides,DL Chahar
151538,1,wides,SR Watson
151549,1,wides,PP Chawla
151566,1,noballs,R Vinay Kumar
151569,1,wides,R Vinay Kumar
151577,1,legbyes,SP Narine
151675,1,legbyes,CH Morris
151680,1,wides,Mohammed Shami
151688,1,legbyes,DS Kulkarni
151690,1,wides,DS Kulkarni
151708,1,wides,R Tewatia
151714,1,legbyes,B Laughlin
151725,1,wides,Shakib Al Hasan
151773,1,legbyes,PJ Sangwan
151808,2,legbyes,M Markande
151864,1,wides,Rashid Khan
151874,1,noballs,S Kaul
151902,1,wides,B Stanlake
151908,4,legbyes,Rashid Khan
151958,1,wides,BCJ Cutting
151969,1,legbyes,AR Patel
152019,1,legbyes,K Khejroliya
152049,1,wides,CR Woakes
152079,1,wides,AJ Tye
152095,1,legbyes,AJ Tye
152120,1,wides,CR Woakes
152138,1,legbyes,Mujeeb Ur Rahman
152164,1,legbyes,Washington Sundar
152202,1,wides,CR Woakes
152205,1,legbyes,YS Chahal
152220,1,wides,GJ Maxwell
152245,4,legbyes,TA Boult
152248,1,wides,S Nadeem
152263,1,wides,S Nadeem
152317,1,wides,R Tewatia
152350,1,wides,TA Boult
152363,1,legbyes,TA Boult
152412,1,wides,A Dananjaya
152430,1,legbyes,Mustafizur Rahman
152466,3,wides,Shakib Al Hasan
152488,1,wides,MG Johnson
152491,1,wides,MG Johnson
152505,1,wides,MG Johnson
152521,1,wides,SP Narine
152559,1,legbyes,Shakib Al Hasan
152576,1,legbyes,S Kaul
152595,1,noballs,B Kumar
152600,1,noballs,B Kumar
152690,1,wides,MG Johnson
152703,1,byes,S Gopal
152725,1,wides,BA Stokes
152728,1,byes,S Gopal
152735,1,wides,CR Woakes
152738,1,legbyes,CR Woakes
152753,1,wides,UT Yadav
152765,1,wides,CR Woakes
152773,1,legbyes,YS Chahal
152820,1,wides,B Laughlin
152823,1,wides,BA Stokes
152825,1,legbyes,BA Stokes
152891,4,byes,YS Chahal
152901,1,wides,YS Chahal
152905,1,wides,UT Yadav
152906,1,noballs,UT Yadav
152924,1,wides,K Khejroliya
152934,1,noballs,UT Yadav
153009,1,wides,DL Chahar
153025,1,wides,Yuvraj Singh
153031,1,wides,R Ashwin
153033,1,wides,R Ashwin
153098,3,wides,BB Sran
153100,1,wides,BB Sran
153102,1,legbyes,BB Sran
153137,1,legbyes,R Ashwin
153155,1,wides,BB Sran
153157,1,wides,BB Sran
153182,1,wides,MM Sharma
153187,1,wides,AJ Tye
153232,1,wides,PP Chawla
153239,1,wides,AD Russell
153240,1,wides,AD Russell
153244,1,wides,Shivam Mavi
153251,1,wides,AD Russell
153257,1,legbyes,Shivam Mavi
153258,1,legbyes,Shivam Mavi
153273,1,legbyes,PP Chawla
153291,1,wides,Mohammed Shami
153335,1,wides,CH Morris
153341,4,legbyes,CH Morris
153416,1,wides,M Markande
153423,1,wides,KH Pandya
153432,1,byes,M Markande
153462,5,wides,Washington Sundar
153469,5,wides,Mohammed Siraj
153518,1,wides,Mohammed Siraj
153557,1,noballs,Mustafizur Rahman
153563,1,legbyes,UT Yadav
153570,1,wides,JJ Bumrah
153571,1,legbyes,JJ Bumrah
153609,1,legbyes,M Markande
153624,1,wides,UT Yadav
153633,1,wides,CR Woakes
153640,1,wides,CJ Anderson
153646,2,wides,CJ Anderson
153701,1,legbyes,Kuldeep Yadav
153742,1,legbyes,S Gopal
153752,1,wides,BA Stokes
153802,1,noballs,TK Curran
153808,1,wides,Shivam Mavi
153809,1,wides,Shivam Mavi
153811,1,wides,Shivam Mavi
153885,1,wides,B Laughlin
153930,1,wides,BB Sran
153957,1,legbyes,MM Sharma
153970,2,wides,R Ashwin
153995,1,legbyes,AJ Tye
154025,1,wides,CJ Jordan
154034,1,wides,B Kumar
154058,4,legbyes,CJ Jordan
154099,1,wides,DJ Hooda
154101,1,legbyes,DJ Hooda
154114,1,wides,Mujeeb Ur Rahman
154123,1,noballs,BB Sran
154124,1,wides,BB Sran
154128,1,wides,BB Sran
154134,1,wides,MM Sharma
154137,1,wides,R Ashwin
154141,1,wides,R Ashwin
154146,1,wides,R Ashwin
154155,1,wides,DL Chahar
154156,1,wides,DL Chahar
154177,1,wides,SR Watson
154248,1,wides,B Laughlin
154257,1,wides,S Gopal
154259,1,wides,DJ Bravo
