id,dismissalKind,playerDismissed,fielder
3241,run out,MF Maharoof,"DPMD Jayawardene,KC Sangakkara"
3247,lbw,K Goel,
3253,caught,KC Sangakkara,KD Karthik
3318,run out,SK Raina,"W Jaffer,MV Boucher"
3325,caught,PA Patel,JH Kallis
3391,bowled,ML Hayden,
3438,caught,W Jaffer,JDP Oram
3457,caught,JH Kallis,MS Dhoni
3464,caught,LRPL Taylor,SK Raina
3471,caught,MV Boucher,MEK Hussey
3473,lbw,R Dravid,
3477,bowled,V Kohli,
3487,caught,MS Dhoni,R Vinay Kumar (sub)
3488,caught,MEK Hussey,R Dravid
3509,bowled,B Chipli,
3527,run out,Z Khan,"SK Raina,MS Dhoni"
3528,run out,P Kumar,"Joginder Sharma,JDP Oram,MS Dhoni"
3532,caught,DW Steyn,MEK Hussey
3564,caught,DB Das,RV Uthappa
3585,caught,AB Agarkar,A Nehra
3603,caught,DJ Hussey,A Nehra
3610,run out,RT Ponting,"AM Rahane,ST Jayasuriya"
3612,caught,Mohammad Hafeez,PR Shah
3615,caught,SC Ganguly,ST Jayasuriya
3617,lbw,BB McCullum,
3733,caught,M Kartik,ST Jayasuriya
3755,caught,AM Rahane,DJ Hussey
3762,bowled,ST Jayasuriya,
3765,bowled,MK Pandey,
3828,caught,R Dravid,V Sehwag
3886,run out,V Sehwag,LRPL Taylor
3946,caught,S Dhawan,R Dravid
3953,bowled,Shoaib Malik,
3960,bowled,KD Karthik,
3967,caught,G Gambhir,P Kumar
3982,caught,P Kumar,S Dhawan
4003,caught,LRPL Taylor,S Dhawan
4007,caught,W Jaffer,VY Mahesh
4012,bowled,JH Kallis,
4033,caught,VVS Laxman,Yuvraj Singh
4034,caught,HH Gibbs,K Goel
4064,caught,SB Bangar,S Sreesanth
4076,bowled,DNT Zoysa,
4090,caught,Shahid Afridi,Yuvraj Singh
4094,run out,Y Venugopal Rao,"Yuvraj Singh,KC Sangakkara"
4118,bowled,AC Gilchrist,
4135,run out,RR Sarwan,SB Bangar
4140,caught,KC Sangakkara,RG Sharma
4165,caught and bowled,Yuvraj Singh,
4215,caught,D Kalyankrishna,SE Marsh
4285,caught,SA Asnodkar,DJ Hussey
4288,lbw,SR Watson,
4297,caught and bowled,M Kaif,
4323,bowled,RA Jadeja,
4349,bowled,GC Smith,
4376,caught,AB Agarkar,M Rawat
4384,run out,BJ Hodge,SK Trivedi
4433,caught,SC Ganguly,M Kaif
4435,run out,LR Shukla,"RA Jadeja,M Rawat"
4459,bowled,YK Pathan,
4461,run out,SK Warne,"Umar Gul,WP Saha"
4476,bowled,Salman Butt,
4497,bowled,WP Saha,
4501,caught,DB Das,SR Watson
4502,run out,Umar Gul,"RA Jadeja,M Rawat"
4506,caught,AB Dinda,T Kohli (sub)
4508,bowled,DJ Hussey,
4559,bowled,G Gambhir,
4580,caught,V Sehwag,M Muralitharan
4609,bowled,SP Fleming,
4640,caught,PA Patel,VY Mahesh
4680,caught,S Vidyut,VY Mahesh
4695,caught,MS Dhoni,Shoaib Malik
4702,run out,SK Raina,PJ Sangwan
4711,caught,JA Morkel,V Sehwag
4792,caught,LPC Silva,SP Goswami
4804,caught,RG Sharma,DW Steyn
4820,stumped,HH Gibbs,SP Goswami
4827,caught,AC Gilchrist,B Akhil
4877,run out,JH Kallis,LPC Silva
4902,caught,Misbah-ul-Haq,LPC Silva
4930,caught,R Dravid,AC Gilchrist
4940,bowled,DB Ravi Teja,
4946,caught,Y Venugopal Rao,W Jaffer
4947,run out,SB Bangar,R Vinay Kumar
4952,run out,WPUJC Vaas,SP Goswami
4954,caught,AS Yadav,B Chipli (sub)
4956,bowled,RP Singh,
4972,run out,W Jaffer,AS Yadav
4993,caught,V Kohli,DB Ravi Teja
5004,stumped,Yuvraj Singh,WP Saha
5031,run out,K Goel,"DB Das,DJ Hussey"
5059,stumped,SE Marsh,WP Saha
5063,caught,DPMD Jayawardene,SC Ganguly
5093,caught,JR Hopes,BJ Hodge
5105,caught,DB Das,Yuvraj Singh
5134,bowled,LR Shukla,
5186,bowled,KC Sangakkara,
5213,caught,SC Ganguly,IK Pathan
5215,bowled,Mohammad Hafeez,
5220,lbw,BJ Hodge,
5230,caught,DJ Hussey,JR Hopes
