id,batsman,bowler,runs
923,V Kohli,ST Jayasuriya,4
926,V Kohli,ST Jayasuriya,6
933,R Dravid,DS Kulkarni,4
937,V Kohli,AM Nayar,4
955,WP Saha,RP Singh,4
982,AS Yadav,DJ Hussey,6
987,A Symonds,DJ Hussey,4
997,A Symonds,DJ Hussey,6
998,A Symonds,DJ Hussey,6
1000,SB Bangar,DJ Hussey,6
1009,SB Bangar,M Kartik,4
1013,BB McCullum,WPUJC Vaas,4
1036,Y Venugopal Rao,AB Dinda,4
1050,AC Gilchrist,AB Agarkar,6
1052,AC Gilchrist,AB Agarkar,6
1053,AC Gilchrist,AB Agarkar,4
1059,A Symonds,M Kartik,4
1086,SB Styris,M Kartik,4
1105,Mohammad Hafeez,A Symonds,6
1117,Mohammad Hafeez,RP Singh,4
1128,DJ Hussey,SB Styris,6
1129,DJ Hussey,SB Styris,4
1135,DJ Hussey,PP Ojha,6
1160,DJ Hussey,SB Bangar,6
1163,SC Ganguly,SB Bangar,4
1186,K Goel,SR Watson,4
1188,K Goel,MM Patel,4
1191,K Goel,MM Patel,6
1194,JR Hopes,SR Watson,4
1198,JR Hopes,SR Watson,4
1202,K Goel,MM Patel,4
1203,K Goel,MM Patel,6
1205,KC Sangakkara,MM Patel,4
1207,KC Sangakkara,SK Trivedi,6
1208,KC Sangakkara,SK Trivedi,4
1209,KC Sangakkara,SK Trivedi,4
1219,SR Watson,WA Mota,6
1223,RA Jadeja,S Sreesanth,4
1226,RA Jadeja,S Sreesanth,4
1229,SR Watson,PP Chawla,4
1231,RA Jadeja,PP Chawla,4
1233,RA Jadeja,PP Chawla,6
1236,RA Jadeja,B Lee,4
1239,RA Jadeja,B Lee,4
1254,SR Watson,S Sreesanth,4
1256,PP Chawla,SR Watson,4
1257,PP Chawla,SR Watson,4
1263,M Kaif,B Lee,4
1271,Kamran Akmal,S Sreesanth,4
1274,YK Pathan,B Lee,4
1279,Kamran Akmal,B Lee,6
1285,SR Watson,S Sreesanth,6
1287,SR Watson,S Sreesanth,4
1291,Kamran Akmal,JR Hopes,4
1303,Yuvraj Singh,D Salunkhe,4
1313,Yuvraj Singh,SR Watson,4
1314,Yuvraj Singh,SR Watson,4
1328,Yuvraj Singh,Pankaj Singh,4
1329,Yuvraj Singh,Pankaj Singh,4
1336,Yuvraj Singh,D Salunkhe,6
1338,Yuvraj Singh,D Salunkhe,4
1348,Yuvraj Singh,YK Pathan,6
1349,Yuvraj Singh,YK Pathan,6
1356,IK Pathan,SK Warne,6
1368,PP Chawla,MM Patel,4
1372,PP Chawla,SR Watson,4
1382,SR Watson,JR Hopes,6
1394,SR Watson,JR Hopes,6
1398,DS Lehmann,JR Hopes,4
1400,SR Watson,IK Pathan,4
1403,SR Watson,IK Pathan,4
1407,DS Lehmann,PP Chawla,4
1410,SR Watson,PP Chawla,6
1415,DS Lehmann,B Lee,4
1428,AC Gilchrist,Mohammad Asif,6
1433,Y Venugopal Rao,GD McGrath,4
1453,A Symonds,GD McGrath,4
1455,Y Venugopal Rao,GD McGrath,4
1470,RG Sharma,Mohammad Asif,6
1477,RG Sharma,R Bhatia,6
